id;name;remark;day_rent;weekly_rent;monthly_rent;deposit;rental_method;max_rent;inventory;delivery_method;status;lease_must_read;desciption
1;mission-critical;Berkshire Small Plastic Pants Investor;23956;68070;14489;53093;Way Dominican Republic;59269;67213;PickUp;OnLine;web-enabled invoice withdrawal;bypassing optical
2;installation;Argentine Peso;85835;59089;32595;67756;Clothing;51209;80950;ExpressDelivery;OnLine;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global
3;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;9310;96541;89721;55829;THX pink even-keeled;70035;72595;PickUp;OffLine;Dynamic Home Loan Account Tools;Branding
4;Home Gloves Latvia;Ports Manager Fish;1807;23724;49389;32539;navigate;64963;74417;PickUp;OnLine;Wisconsin;target Human withdrawal
5;dot-com payment Libyan Dinar;white sensor local;2431;76855;64547;4360;Representative;46994;95392;ExpressDelivery;OnLine;architectures;Wisconsin Facilitator Incredible
6;reinvent;eco-centric Bedfordshire mesh;39469;93615;84421;69602;Arkansas Intelligent Credit Card Account;99005;35864;PickUp;OnLine;calculating Metal array;discrete redundant
7;Synergistic Personal Loan Account Sleek;Borders;79829;19427;64996;7094;extend Unbranded Fresh Pants Tools;57886;9398;ExpressDelivery;OnLine;Utah Computers Small Fresh Gloves;Brunei Darussalam interface
8;compress lavender Investment Account;backing up;19438;53135;41135;54063;deposit panel Strategist;51630;71459;ExpressDelivery;OffLine;Chips;navigating
9;Som Rustic Frozen Keyboard ROI;Benin;71459;18286;66019;93461;invoice;51669;73789;PickUp;OffLine;Garden;Small
10;Incredible Fresh Chips;Shoes Music connect;80691;47347;34630;17320;systems integrate;61585;94914;PickUp;OffLine;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors
