id;name;start_time;end_time;inventory;number_of_periods;deposit;credit_exemption;rent_received_number_of_periods;debited_amount;next_bill_day
1;Squares Table Avon;2019-08-31T01:23:22;2019-08-31T07:14:24;74168;54163;69884;63347;40255;25788;2019-08-31T08:27:20
2;invoice;2019-08-31T03:34:03;2019-08-30T14:03:46;13227;52569;90057;17167;69122;27230;2019-08-30T21:17:31
3;programming;2019-08-31T00:58:35;2019-08-31T10:51:44;81505;57651;49809;27405;6717;55417;2019-08-31T03:57:44
4;Buckinghamshire microchip;2019-08-31T11:07:49;2019-08-31T13:25:27;14001;13688;26368;90001;26649;87389;2019-08-30T20:06:57
5;Phased payment;2019-08-31T01:49:33;2019-08-31T09:28:46;57329;91441;83810;41877;40438;38313;2019-08-30T19:11:11
6;paradigms strategic;2019-08-30T14:40:53;2019-08-30T19:58:32;18437;8279;9033;60315;77098;24534;2019-08-31T12:03:01
7;compressing action-items;2019-08-30T15:42:58;2019-08-30T20:25:53;72153;29712;61040;56640;94930;47605;2019-08-31T04:10:07
8;Factors Soft;2019-08-31T02:04:41;2019-08-31T08:31:47;26991;3118;53984;26226;16201;59507;2019-08-30T17:29:30
9;indexing;2019-08-30T14:45:46;2019-08-30T23:21:51;15467;33424;62333;77091;47423;10659;2019-08-31T05:25:23
10;bricks-and-clicks;2019-08-31T03:46:52;2019-08-31T01:47:47;70492;68840;59828;43482;45968;24640;2019-08-31T11:51:57
