id;name;parent_id;alias;level;phone_area_code;zip;pinyin
1;monitor 1080p Checking Account;92630;deposit Internal;85003;Highway Ergonomic;37081;Lempira
2;pixel withdrawal;88721;Junction Frozen;71324;synthesize Idaho compress;49379;Poland
3;Small partnerships;20171;Dynamic;47537;Montana;69551;Concrete Investment Account Saint Lucia
4;User-centric;7697;neutral Salad;92969;virtual deposit;87146;digital maroon
5;EXE projection Fresh;35629;Direct;27213;withdrawal;52;cutting-edge ability Hat
6;supply-chains magenta;11986;24/7;94290;conglomeration;51879;Kenyan Shilling robust
7;Versatile Exclusive Moroccan Dirham;71227;Plastic;99774;mission-critical;97661;paradigms Home
8;Investor Public-key;14489;Berkshire Designer;24205;Bulgarian Lev navigate;23763;transmitter
9;Point Orchestrator;39882;bypassing optical;15071;Bedfordshire;69581;HDD
10;Algerian Dinar;1658;Buckinghamshire Future-proofed deposit;17436;Yen synthesize Creative;13752;bricks-and-clicks Concrete Global
