id;name;value
1;Business-focused generate grid-enabled;International card
2;West Virginia Keys;Factors Soft
3;black Beauty;Soap
4;Refined Granite Sausages Savings Account extensible;Course robust bricks-and-clicks
5;Buckinghamshire Nepalese Rupee;Forge Licensed
6;auxiliary;Engineer Toys Fantastic
7;Licensed;Marketing mobile Cayman Islands Dollar
8;Computer Uzbekistan;input invoice calculate
9;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar
10;Branding;Handcrafted Rubber Sausages
