id;name;icon;remark
1;indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic
2;markets protocol Savings Account;Shoes HDD;utilisation
3;out-of-the-box Pizza;systems Sleek Wooden Towels Clothing;Fundamental Designer
4;Borders Intelligent whiteboard;Practical Steel Mouse;indexing
5;XSS;mindshare navigating Money Market Account;drive Analyst Awesome Fresh Hat
6;Michigan Clothing;Borders HDD;redundant withdrawal Planner
7;National;benchmark;invoice program
8;synthesize;Investor Tuna;redefine
9;Shirt SDD;communities Refined;Pike Borders
10;payment Rustic;envisioneer Coordinator;SMTP
